context,question,answer_start,text
"Moisture absorption occurs when the material is exposed to high humidity or water. Both the resin and the reinforcement may absorb water; water may be also soaked by capillary forces through voids in the materials and along the reinforcement. Epoxies of the FR-4 materials aren't too susceptible, with absorption of only 0.15%. Teflon has very low absorption of 0.01%. Polyimides and cyanate esters, on the other side, suffer from high water absorption. Absorbed water can lead to significant degradation of key parameters; it impairs tracking resistance, breakdown voltage, and dielectric parameters. Relative dielectric constant of water is about 73, compared to about 4 for common circuitboard materials. Absorbed moisture can also vaporize on heating and cause cracking and delamination, the same effect responsible for ""popcorning"" damage on wet packaging of electronic parts. Careful baking of the substrates may be required.",What percentage absorption do F-4 epoxies have?,321,0.15%
"The Eagle and Child and the Lamb and Flag, Oxford, were regular meeting places of the Inklings, a writers' group which included J. R. R. Tolkien and C. S. Lewis. The Eagle in Cambridge is where Francis Crick interrupted patrons' lunchtime on 28 February 1953 to announce that he and James Watson had ""discovered the secret of life"" after they had come up with their proposal for the structure of DNA. The anecdote is related in Watson's book The Double Helix. and commemorated with a blue plaque on the outside wall.","Along with J. R. R. Tolkien, who was a noted member of the Inklings?",149,C. S. Lewis
"Since 1947, Canadian military units have participated in more than 200 operations worldwide, and completed 72 international operations. Canadian soldiers, sailors, and aviators came to be considered world-class professionals through conspicuous service during these conflicts and the country's integral participation in NATO during the Cold War, First Gulf War, Kosovo War, and in United Nations Peacekeeping operations, such as the Suez Crisis, Golan Heights, Cyprus, Croatia, Bosnia, Afghanistan, and Libya. Canada maintained an aircraft carrier from 1957 to 1970 during the Cold War, which never saw combat but participated in patrols during the Cuban Missile Crisis.",What are some of the wars the Canadian Military was involved in?,336,"Cold War, First Gulf War, Kosovo War"
"In the Byzantine Rite of the Eastern Orthodox Church and the Eastern Catholic Churches, the music performed in the liturgies is exclusively sung without instrumental accompaniment. Bishop Kallistos Ware says, ""The service is sung, even though there may be no choir... In the Orthodox Church today, as in the early Church, singing is unaccompanied and instrumental music is not found."" This a cappella behavior arises from strict interpretation of Psalms 150, which states, Let every thing that hath breath praise the Lord. Praise ye the Lord. In keeping with this philosophy, early Russian musika which started appearing in the late 17th century, in what was known as khorovïye kontsertï (choral concertos) made a cappella adaptations of Venetian-styled pieces, such as the treatise, Grammatika musikiyskaya (1675), by Nikolai Diletsky. Divine Liturgies and Western Rite masses composed by famous composers such as Peter Tchaikovsky, Sergei Rachmaninoff, Alexander Arkhangelsky, and Mykola Leontovych are fine examples of this.",khorovïye kontsertï were typically done similar to what pieces?,738,Venetian-styled
"Gaddafi sought to develop closer links in the Maghreb; in January 1974 Libya and Tunisia announced a political union, the Arab Islamic Republic. Although advocated by Gaddafi and Tunisian President Habib Bourguiba, the move was deeply unpopular in Tunisia and soon abandoned. Retaliating, Gaddafi sponsored anti-government militants in Tunisia into the 1980s. Turning his attention to Algeria, in 1975 Libya signed the Hassi Messaoud defence agreement allegedly to counter ""Moroccan expansionism"", also funding the Polisario Front of Western Sahara in their independence struggle against Morocco. Seeking to diversify Libya's economy, Gaddafi's government began purchasing shares in major European corporations like Fiat as well as buying real estate in Malta and Italy, which would become a valuable source of income during the 1980s oil slump.",What was the name of the abortive political union between Tunisia and Libya in 1974?,122,Arab Islamic Republic
"Sex was used as an important element in the content and marketing the paper from the start, which Lamb believed was the most important part of his readers' lives. The first topless Page 3 model appeared on 17 November 1970, German-born Stephanie Rahn; she was tagged as a ""Birthday Suit Girl"" to mark the first anniversary of the relaunched Sun. A topless Page 3 model gradually became a regular fixture, and with increasingly risqué poses. Both feminists and many cultural conservatives saw the pictures as pornographic and misogynistic. Lamb expressed some regret at introducing the feature, although denied it was sexist. A Conservative council in Sowerby Bridge, Yorkshire, was the first to ban the paper from its public library, shortly after Page 3 began, because of its excessive sexual content. This decision was reversed after a sustained campaign by the newspaper itself lasting 16 months, and the election of a Labour-led council in 1971.",When was the library ban reversed?,944,1971
"As Ashkenazi Jews moved away from Europe, mostly in the form of aliyah to Israel, or immigration to North America, and other English-speaking areas; and Europe (particularly France) and Latin America, the geographic isolation that gave rise to Ashkenazim has given way to mixing with other cultures, and with non-Ashkenazi Jews who, similarly, are no longer isolated in distinct geographic locales. Hebrew has replaced Yiddish as the primary Jewish language for many Ashkenazi Jews, although many Hasidic and Hareidi groups continue to use Yiddish in daily life. (There are numerous Ashkenazi Jewish anglophones and Russian-speakers as well, although English and Russian are not originally Jewish languages.)","Most of the Ashkenazi Jews moved away from Europe either immigrating to North America, or other English speaking areas but most to which place?",74,Israel
"The most significant event between the 7th and 11th century was the Tripartite struggle centered on Kannauj that lasted for more than two centuries between the Pala Empire, Rashtrakuta Empire, and Gurjara Pratihara Empire. Southern India was ruled by the Chalukya, Chola, Pallava, Chera, Pandyan, and Western Chalukya Empires. The seventh century also saw the advent of Islam as a political power, though as a fringe, in the western part of the subcontinent, in modern-day Pakistan. The Chola dynasty conquered southern India and successfully invaded parts of Southeast Asia, Sri Lanka, Maldives and Bengal in the 11th century. The early medieval period Indian mathematics influenced the development of mathematics and astronomy in the Arab world and the Hindu numerals were introduced.",When did Islam begin to become a political power in India?,331,seventh century
"A large percentage of experts on the modern Middle East began their training in university departments named for the Near East. Similarly the journals associated with these fields of expertise include the words Near East or Near Eastern. The meaning of Near East in these numerous establishments and publications is Middle East. Expertise on the modern Middle East is almost never mixed or confused with studies of the Ancient Near East, although often ""Ancient Near East"" is abbreviated to ""Near East"" without any implication of modern times. For example, ""Near Eastern Languages"" in the ancient sense includes such languages as Sumerian and Akkadian. In the modern sense, it is likely to mean any or all of the Arabic languages.",Where did a large percentage of experts on the modern Middle East began their training?,80,university departments named for the Near East
"Formal discipline is administered by congregation elders. When a baptized member is accused of committing a serious sin—usually cases of sexual misconduct or charges of apostasy for disputing Jehovah's Witness doctrines—a judicial committee is formed to determine guilt, provide help and possibly administer discipline. Disfellowshipping, a form of shunning, is the strongest form of discipline, administered to an offender deemed unrepentant. Contact with disfellowshipped individuals is limited to direct family members living in the same home, and with congregation elders who may invite disfellowshipped persons to apply for reinstatement; formal business dealings may continue if contractually or financially obliged. Witnesses are taught that avoiding social and spiritual interaction with disfellowshipped individuals keeps the congregation free from immoral influence and that ""losing precious fellowship with loved ones may help [the shunned individual] to come 'to his senses,' see the seriousness of his wrong, and take steps to return to Jehovah."" The practice of shunning may also serve to deter other members from dissident behavior. Members who disassociate (formally resign) are described in Watch Tower Society literature as wicked and are also shunned. Expelled individuals may eventually be reinstated to the congregation if deemed repentant by elders in the congregation in which the disfellowshipping was enforced. Reproof is a lesser form of discipline given formally by a judicial committee to a baptized Witness who is considered repentant of serious sin; the reproved person temporarily loses conspicuous privileges of service, but suffers no restriction of social or spiritual fellowship. Marking, a curtailing of social but not spiritual fellowship, is practiced if a baptized member persists in a course of action regarded as a violation of Bible principles but not a serious sin.[note 4]",What are Jehovah Witnesses taught that avoiding social and spiritual interaction with disfellowshipped individuals does?,825,keeps the congregation free from immoral influence
"Unarmed fox hunting on horseback with hounds is the type of hunting most closely associated with the United Kingdom; in fact, ""hunting"" without qualification implies fox hunting. What in other countries is called ""hunting"" is called ""shooting"" (birds) or ""stalking"" (deer) in Britain. Originally a form of vermin control to protect livestock, fox hunting became a popular social activity for newly wealthy upper classes in Victorian times and a traditional rural activity for riders and foot followers alike. Similar to fox hunting in many ways is the chasing of hares with hounds. Pairs of Sight hounds (or long-dogs), such as greyhounds, may be used to pursue a hare in coursing, where the greyhounds are marked as to their skill in coursing the hare (but are not intended to actually catch it), or the hare may be pursued with scent hounds such as beagles or harriers. Other sorts of foxhounds may also be used for hunting stags (deer) or mink. Deer stalking with rifles is carried out on foot without hounds, using stealth.","In England, what is hunted when ""shooting"" is called for?",245,birds
"630 people lost their lives as a result of the air raids on Southampton and nearly 2,000 more were injured, not to mention the thousands of buildings damaged or destroyed.",Was it hundreds or thousands of buildings in Southampton that sustained damage from air raids?,127,thousands
"BYU has been considered by some Latter-day Saints, as well as some university and church leaders, to be ""The Lord's university"". This phrase is used in reference to the school's mission as an ""ambassador"" to the world for the LDS Church and thus, for Jesus Christ. In the past, some students and faculty have expressed dissatisfaction with this nickname, stating that it gives students the idea that university authorities are always divinely inspired and never to be contradicted. Leaders of the school, however, acknowledge that the nickname represents more a goal that the university strives for and not its current state of being. Leaders encourage students and faculty to help fulfill the goal by following the teachings of their religion, adhering to the school's honor code, and serving others with the knowledge they gain while attending.","What perception do some feel that the nickname ""The Lord's University"" gives about university officials?",427,always divinely inspired and never to be contradicted
"In May 1970, the Revolutionary Intellectuals Seminar was held to bring intellectuals in line with the revolution, while that year's Legislative Review and Amendment united secular and religious law codes, introducing sharia into the legal system. Ruling by decree, the RCC maintained the monarchy's ban on political parties, in May 1970 banned trade unions, and in 1972 outlawed workers' strikes and suspended newspapers. In September 1971, Gaddafi resigned, claiming to be dissatisfied with the pace of reform, but returned to his position within a month. In February 1973, he resigned again, once more returning the following month.",What was the RCC's view of political parties?,247,"Ruling by decree, the RCC maintained the monarchy's ban on political parties,"
"A glacier (US /ˈɡleɪʃər/ or UK /ˈɡlæsiə/) is a persistent body of dense ice that is constantly moving under its own weight; it forms where the accumulation of snow exceeds its ablation (melting and sublimation) over many years, often centuries. Glaciers slowly deform and flow due to stresses induced by their weight, creating crevasses, seracs, and other distinguishing features. They also abrade rock and debris from their substrate to create landforms such as cirques and moraines. Glaciers form only on land and are distinct from the much thinner sea ice and lake ice that form on the surface of bodies of water.","Do glaciers form on land, in the sea, or a combination of both?",499,only on land
"Ford Motor Company and Coca-Cola were two of the first sponsors of American Idol in its first season. The sponsorship deal cost around $10 million in season one, rising to $35 million by season 7, and between $50 to $60 million in season 10. The third major sponsor AT&T Wireless joined in the second season but ended after season 12, and Coca-Cola officially ended its sponsorship after season 13 amidst the declining ratings of Idol in the mid-2010s. iTunes sponsored the show since season seven.",Who was the third largest sponsor?,266,AT&T
"In consequence to the Reform War, the federal government was bankrupt and could not pay its foreign debts to Spain, England, and France. On July 17, 1861, President Juárez decreed a moratorium on payment to foreign debtors for a period of two years. Spain, England, and France did not accept the moratorium by Mexico; they united at the Convention of the Triple Alliance on October 31, 1861 in which they agreed to take possession of several custom stations within Mexico as payment. A delegation of the Triple Alliance arrived in Veracruz in December 1861. President Juárez immediately sent his Foreign Affairs Minister, Manuel Doblado, who is able to reduce the debts through the Pacto de Soledad (Soledad Pact). General Juan Prim of Spain persuaded the English delegation to accept the terms of the Pacto de Soledad, but the French delegation refused.",Which country refused to accept?,129,France
"The ""Bleacher Bums"" is a name given to fans, many of whom spend much of the day heckling, who sit in the bleacher section at Wrigley Field. Initially, the group was called ""bums"" because it referred to a group of fans who were at most games, and since those games were all day games, it was assumed they did not work. Many of those fans were, and are still, students at Chicago area colleges, such as DePaul University, Loyola, Northwestern University, and Illinois-Chicago. A Broadway play, starring Joe Mantegna, Dennis Farina, Dennis Franz, and James Belushi ran for years and was based on a group of Cub fans who frequented the club's games. The group was started in 1967 by dedicated fans Ron Grousl, Tom Nall and ""mad bugler"" Mike Murphy, who was a sports radio host during mid days on Chicago-based WSCR AM 670 ""The Score"". Murphy alleges that Grousl started the Wrigley tradition of throwing back opposing teams' home run balls. The current group is headed by Derek Schaul (Derek the Five Dollar Kid). Prior to the 2006 season, they were updated, with new shops and private bar (The Batter's Eye) being added, and Bud Light bought naming rights to the bleacher section, dubbing them the Bud Light Bleachers. Bleachers at Wrigley are general admission, except during the playoffs. The bleachers have been referred to as the ""World's Largest Beer Garden."" A popular T-shirt (sold inside the park and licensed by the club) which says ""Wrigley Bleachers"" on the front and the phrase ""Shut Up and Drink Your Beer"" on the reverse fuels this stereotype.",What did Bud Light dub the bleacher section?,1191,the Bud Light Bleachers
"Saint Helena has a 10/3.6 Mbit/s internet link via Intelsat 707 provided by SURE. Serving a population of more than 4,000, this single satellite link is considered inadequate in terms of bandwidth.",What speed is Saint Helena internet access?,19,10/3.6 Mbit/s
"Humanists reacted against this utilitarian approach and the narrow pedantry associated with it. They sought to create a citizenry (frequently including women) able to speak and write with eloquence and clarity and thus capable of engaging the civic life of their communities and persuading others to virtuous and prudent actions. This was to be accomplished through the study of the studia humanitatis, today known as the humanities: grammar, rhetoric, history, poetry and moral philosophy. As a program to revive the cultural – and particularly the literary – legacy and moral philosophy of classical antiquity, Humanism was a pervasive cultural mode and not the program of a few isolated geniuses like Rabelais or Erasmus as is still sometimes popularly believed.",What was it about the utilitatian beliefs that humanism believers did not like?,60,narrow pedantry
"Affirmative action in the United States tends to focus on issues such as education and employment, specifically granting special consideration to racial minorities, Native Americans, and women who have been historically excluded groups in America. Reports have shown that minorities and women have faced discrimination in schools and businesses for many years and this discrimination produced unfair advantages for whites and males in education and employment. The impetus toward affirmative action is redressing the disadvantages associated with past and present discrimination. Further impetus is a desire to ensure public institutions, such as universities, hospitals, and police forces, are more representative of the populations they serve.","Outside of employment, what is the other main issue that affirmative action focuses on?",73,education
"In this paper, he described a new system for storing and working with large databases. Instead of records being stored in some sort of linked list of free-form records as in CODASYL, Codd's idea was to use a ""table"" of fixed-length records, with each table used for a different type of entity. A linked-list system would be very inefficient when storing ""sparse"" databases where some of the data for any one record could be left empty. The relational model solved this by splitting the data into a series of normalized tables (or relations), with optional elements being moved out of the main table to where they would take up room only if needed. Data may be freely inserted, deleted and edited in these tables, with the DBMS doing whatever maintenance needed to present a table view to the application/user.",What system assists a user in seeing a table?,722,DBMS
"In 1988, unrest over economic mismanagement and political oppression by the government led to widespread pro-democracy demonstrations throughout the country known as the 8888 Uprising. Security forces killed thousands of demonstrators, and General Saw Maung staged a coup d'état and formed the State Law and Order Restoration Council (SLORC). In 1989, SLORC declared martial law after widespread protests. The military government finalised plans for People's Assembly elections on 31 May 1989. SLORC changed the country's official English name from the ""Socialist Republic of the Union of Burma"" to the ""Union of Myanmar"" in 1989.",What are the 1988 demonstrations in Burma called?,170,8888 Uprising
"The United States Air Force (USAF) is the aerial warfare service branch of the United States Armed Forces and one of the seven American uniformed services. Initially part of the United States Army, the USAF was formed as a separate branch of the military on 18 September 1947 under the National Security Act of 1947. It is the most recent branch of the U.S. military to be formed, and is the largest and one of the world's most technologically advanced air forces. The USAF articulates its core functions as Nuclear Deterrence Operations, Special Operations, Air Superiority, Global Integrated ISR, Space Superiority, Command and Control, Cyberspace Superiority, Personnel Recovery, Global Precision Attack, Building Partnerships, Rapid Global Mobility and Agile Combat Support.",How many uniformed services are there in the United States?,121,seven
"The Russians avoided Napoleon's objective of a decisive engagement and instead retreated deeper into Russia. A brief attempt at resistance was made at Smolensk in August; the Russians were defeated in a series of battles, and Napoleon resumed his advance. The Russians again avoided battle, although in a few cases this was only achieved because Napoleon uncharacteristically hesitated to attack when the opportunity arose. Owing to the Russian army's scorched earth tactics, the French found it increasingly difficult to forage food for themselves and their horses.",Where did the Russians try to resist Napoleon and get defeated?,151,Smolensk
"Extended systems of underwater caves, sinkholes and springs are found throughout the state and supply most of the water used by residents. The limestone is topped with sandy soils deposited as ancient beaches over millions of years as global sea levels rose and fell. During the last glacial period, lower sea levels and a drier climate revealed a much wider peninsula, largely savanna. The Everglades, an enormously wide, slow-flowing river encompasses the southern tip of the peninsula. Sinkhole damage claims on property in the state exceeded a total of $2 billion from 2006 through 2010.",What is found in Florida,0,"Extended systems of underwater caves, sinkholes and springs"
"The Persian Gulf War was a conflict between Iraq and a coalition force of 34 nations led by the United States. The lead up to the war began with the Iraqi invasion of Kuwait in August 1990 which was met with immediate economic sanctions by the United Nations against Iraq. The coalition commenced hostilities in January 1991, resulting in a decisive victory for the U.S. led coalition forces, which drove Iraqi forces out of Kuwait with minimal coalition deaths. Despite the low death toll, over 180,000 US veterans would later be classified as ""permanently disabled"" according to the US Department of Veterans Affairs (see Gulf War Syndrome). The main battles were aerial and ground combat within Iraq, Kuwait and bordering areas of Saudi Arabia. Land combat did not expand outside of the immediate Iraq/Kuwait/Saudi border region, although the coalition bombed cities and strategic targets across Iraq, and Iraq fired missiles on Israeli and Saudi cities.",What precipitated the Persian Gulf War?,145,the Iraqi invasion of Kuwait
"People with prolonged, frequent, or close contact with people with TB are at particularly high risk of becoming infected, with an estimated 22% infection rate. A person with active but untreated tuberculosis may infect 10–15 (or more) other people per year. Transmission should occur from only people with active TB – those with latent infection are not thought to be contagious. The probability of transmission from one person to another depends upon several factors, including the number of infectious droplets expelled by the carrier, the effectiveness of ventilation, the duration of exposure, the virulence of the M. tuberculosis strain, the level of immunity in the uninfected person, and others. The cascade of person-to-person spread can be circumvented by segregating those with active (""overt"") TB and putting them on anti-TB drug regimens. After about two weeks of effective treatment, subjects with nonresistant active infections generally do not remain contagious to others. If someone does become infected, it typically takes three to four weeks before the newly infected person becomes infectious enough to transmit the disease to others.","If you're around someone with active TB, what's the chance you'll contract it expressed as a percentage?",140,22%
"In July of 2015, a hacker group known as ""The Impact Team"" successfully breached the extramarital relationship website Ashley Madison. The group claimed that they had taken not only company data but user data as well. After the breach, The Impact Team dumped emails from the company's CEO, to prove their point, and threatened to dump customer data unless the website was taken down permanently. With this initial data release, the group stated “Avid Life Media has been instructed to take Ashley Madison and Established Men offline permanently in all forms, or we will release all customer records, including profiles with all the customers' secret sexual fantasies and matching credit card transactions, real names and addresses, and employee documents and emails. The other websites may stay online.”  When Avid Life Media, the parent company that created the Ashley Madison website, did not take the site offline, The Impact Group released two more compressed files, one 9.7GB and the second 20GB. After the second data dump, Avid Life Media CEO Noel Biderman resigned, but the website remained functional.","What website, in addition to Ashley Madison, was Avid Media instructed to take offline?",509,Established Men
"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment. On stage, her dynamic, highly choreographed performances have led to critics hailing her as one of the best entertainers in contemporary popular music. Throughout a career spanning 19 years, she has sold over 118 million records as a solo artist, and a further 60 million with Destiny's Child, making her one of the best-selling music artists of all time. She has won 20 Grammy Awards and is the most nominated woman in the award's history. The Recording Industry Association of America recognized her as the Top Certified Artist in America during the 2000s decade. In 2009, Billboard named her the Top Radio Songs Artist of the Decade, the Top Female Artist of the 2000s and their Artist of the Millennium in 2011. Time listed her among the 100 most influential people in the world in 2013 and 2014. Forbes magazine also listed her as the most powerful female musician of 2015.",What magazine rated Beyonce as the most powerful female musician in 2015?,985,Forbes
"The Great Basin and Columbia Plateau (the Intermontane Plateaus) are arid or semiarid regions that lie in the rain shadow of the Cascades and Sierra Nevada. Precipitation averages less than 15 inches (38 cm). The Southwest is a hot desert, with temperatures exceeding 100 °F (37.8 °C) for several weeks at a time in summer. The Southwest and the Great Basin are also affected by the monsoon from the Gulf of California from July to September, which brings localized but often severe thunderstorms to the region.",During which months are portions of the US affected by the monsoon from the Gulf of California?,424,July to September
"A global drop in sea level at the end of the Devonian reversed early in the Carboniferous; this created the widespread epicontinental seas and carbonate deposition of the Mississippian. There was also a drop in south polar temperatures; southern Gondwana was glaciated throughout the period, though it is uncertain if the ice sheets were a holdover from the Devonian or not. These conditions apparently had little effect in the deep tropics, where lush coal swamps flourished within 30 degrees of the northernmost glaciers. A mid-Carboniferous drop in sea-level precipitated a major marine extinction, one that hit crinoids and ammonites especially hard. This sea-level drop and the associated unconformity in North America separate the Mississippian Period from the Pennsylvanian period.",The Pennsylvania period is separated by the drop in Carboniferous era sea levels from what other period?,737,Mississippian Period
"Henry III rebuilt the abbey in honour of a royal saint, Edward the Confessor, whose relics were placed in a shrine in the sanctuary. Henry III himself was interred nearby, as were many of the Plantagenet kings of England, their wives and other relatives. Until the death of George II of Great Britain in 1760, most kings and queens were buried in the abbey, some notable exceptions being Henry VI, Edward IV, Henry VIII and Charles I who are buried in St George's Chapel at Windsor Castle. Other exceptions include Richard III, now buried at Leicester Cathedral, and the de facto queen Lady Jane Grey, buried in the chapel of St Peter ad Vincula in the Tower of London. Most monarchs and royals who died after 1760 are buried either in St George's Chapel or at Frogmore to the east of Windsor Castle.[citation needed]",Where was Richard III buried?,542,Leicester Cathedral
"Anxious to expand the company's broadcast and cable presence, longtime MCA head Lew Wasserman sought a rich partner. He located Japanese electronics manufacturer Matsushita Electric (now known as Panasonic), which agreed to acquire MCA for $6.6 billion in 1990. Meanwhile, around this time, the production subsidiary was renamed Universal Studios Inc., and (in 1990) MCA created MCA/Universal Home Video Inc. for the VHS video cassette (later DVD) sales industry.",What was the nationality of Matsushita Electric?,128,Japanese
"Sometime after the publication of the Eclogues (probably before 37 BC), Virgil became part of the circle of Maecenas, Octavian's capable agent d'affaires who sought to counter sympathy for Antony among the leading families by rallying Roman literary figures to Octavian's side. Virgil came to know many of the other leading literary figures of the time, including Horace, in whose poetry he is often mentioned, and Varius Rufus, who later helped finish the Aeneid.",When where the Eclogues likely published?,57,before 37 BC
"Europe spent these years rebuilding and coming to terms with the vast human cost of the conflict. The economy of the United States became increasingly intertwined with that of Europe. In Germany, the Weimar Republic gave way to episodes of political and economic turmoil, which culminated with the German hyperinflation of 1923 and the failed Beer Hall Putsch of that same year. When Germany could no longer afford war payments, Wall Street invested heavily in European debts to keep the European economy afloat as a large consumer market for American mass-produced goods. By the middle of the decade, economic development soared in Europe, and the Roaring Twenties broke out in Germany, Britain and France, the second half of the decade becoming known as the ""Golden Twenties"". In France and francophone Canada, they were also called the ""années folles"" (""Crazy Years"").",When did the hyperinflation of  1923 occur?,323,1923
"Jehovah's Witnesses believe their highest allegiance belongs to God's kingdom, which is viewed as an actual government in heaven, with Christ as king. They remain politically neutral, do not seek public office, and are discouraged from voting, though individual members may participate in uncontroversial community improvement issues. Although they do not take part in politics, they respect the authority of the governments under which they live. They do not celebrate religious holidays such as Christmas and Easter, nor do they observe birthdays, nationalistic holidays, or other celebrations they consider to honor people other than Jesus. They feel that these and many other customs have pagan origins or reflect a nationalistic or political spirit. Their position is that these traditional holidays reflect Satan's control over the world. Witnesses are told that spontaneous giving at other times can help their children to not feel deprived of birthdays or other celebrations.",Why do Jehovah Witnesses forego religious holidays and birthdays or other celebrations?,596,they consider to honor people other than Jesus
"Secondary education in the United States did not emerge until 1910, with the rise of large corporations and advancing technology in factories, which required skilled workers. In order to meet this new job demand, high schools were created, with a curriculum focused on practical job skills that would better prepare students for white collar or skilled blue collar work. This proved beneficial for both employers and employees, since the improved human capital lowered costs for the employer, while skilled employees received a higher wages.",When did secondary education emerge in the United States?,62,1910
"Following the Enlightenment's ideas, the reformers looked to the Scientific Revolution and industrial progress to solve the social problems which arose with the Industrial Revolution. Newton's natural philosophy combined a mathematics of axiomatic proof with the mechanics of physical observation, yielding a coherent system of verifiable predictions and replacing a previous reliance on revelation and inspired truth. Applied to public life, this approach yielded several successful campaigns for changes in social policy.","What did Newton's philosophy do when applied to life,",457,yielded several successful campaigns for changes in social policy.
"Jantar Mantar located in Connaught Place was built by Maharaja Jai Singh II of Jaipur. It consists of 13 architectural astronomy instruments. The primary purpose of the observatory was to compile astronomical tables, and to predict the times and movements of the sun, moon and planets.",The Jantar Mantar consists of how many architectural astronomy instruments?,102,13
"The doctrine of the last day and eschatology (the final fate of the universe) may be reckoned as the second great doctrine of the Quran. It is estimated that approximately one-third of the Quran is eschatological, dealing with the afterlife in the next world and with the day of judgment at the end of time. There is a reference to the afterlife on most pages of the Quran and belief in the afterlife is often referred to in conjunction with belief in God as in the common expression: ""Believe in God and the last day"". A number of suras such as 44, 56, 75, 78, 81 and 101 are directly related to the afterlife and its preparations. Some suras indicate the closeness of the event and warn people to be prepared for the imminent day. For instance, the first verses of Sura 22, which deal with the mighty earthquake and the situations of people on that day, represent this style of divine address: ""O People! Be respectful to your Lord. The earthquake of the Hour is a mighty thing.""",Which natural disaster features in Sura 22?,803,earthquake
"Davis and his cabinet left the city by train that night, as government officials burned documents and departing Confederate troops burned tobacco and other warehouses to deny their contents to the victors. On April 2, 1865, General Godfrey Weitzel, commander of the 25th corps of the United States Colored Troops, accepted the city's surrender from the mayor and group of leading citizens who remained. The Union troops eventually managed to stop the raging fires but about 25% of the city's buildings were destroyed-",On what day did the Confederacy surrender Richmond to the Union?,209,"April 2, 1865"
"The city, especially the East Boston neighborhood, has a significant Hispanic community. Hispanics in Boston are mostly of Puerto Rican (30,506 or 4.9% of total city population), Dominican (25,648 or 4.2% of total city population), Salvadoran (10,850 or 1.8% of city population), Colombian (6,649 or 1.1% of total city population), Mexican (5,961 or 1.0% of total city population), and Guatemalan (4,451 or 0.7% of total city population) ethnic origin. When including all Hispanic national origins, they number 107,917. In Greater Boston, these numbers grow significantly with Puerto Ricans numbering 175,000+, Dominicans 95,000+, Salvadorans 40,000+, Guatemalans 31,000+, Mexicans 25,000+, and Colombians numbering 22,000+.",How many Puerto Rican hispanics live in greater Boston?,601,"175,000+"
"In the early 19th century, the role of Utrecht as a fortified town had become obsolete. The fortifications of the Nieuwe Hollandse Waterlinie were moved east of Utrecht. The town walls could now be demolished to allow for expansion. The moats remained intact and formed an important feature of the Zocher plantsoen, an English style landscape park that remains largely intact today. Growth of the city increased when, in 1843, a railway connecting Utrecht to Amsterdam was opened. After that, Utrecht gradually became the main hub of the Dutch railway network. With the industrial revolution finally gathering speed in the Netherlands and the ramparts taken down, Utrecht began to grow far beyond the medieval centre. In 1853, the Dutch government allowed the bishopric of Utrecht to be reinstated by Rome, and Utrecht became the centre of Dutch Catholicism once more. From the 1880s onward neighbourhoods such as Oudwijk, Wittevrouwen, Vogelenbuurt to the East, and Lombok to the West were developed. New middle class residential areas, such as Tuindorp and Oog in Al, were built in the 1920s and 1930s. During this period, several Jugendstil houses and office buildings were built, followed by Rietveld who built the Rietveld Schröder House (1924), and Dudok's construction of the city theater (1941).",What hapend in the early 19th century,27,the role of Utrecht as a fortified town had become obsolete
"The key characteristic of classical music that distinguishes it from popular music and folk music is that the repertoire tends to be written down in musical notation, creating a musical part or score. This score typically determines details of rhythm, pitch, and, where two or more musicians (whether singers or instrumentalists) are involved, how the various parts are coordinated. The written quality of the music has enabled a high level of complexity within them: J.S. Bach's fugues, for instance, achieve a remarkable marriage of boldly distinctive melodic lines weaving in counterpoint yet creating a coherent harmonic logic that would be impossible in the heat of live improvisation. The use of written notation also preserves a record of the works and enables Classical musicians to perform music from many centuries ago. Musical notation enables 2000s-era performers to sing a choral work from the 1300s Renaissance era or a 1700s Baroque concerto with many of the features of the music (the melodies, lyrics, forms, and rhythms) being reproduced.",J.S. Bach's fugues create a coherent harmonic logic that would be impossible for what other style of music?,671,live improvisation
"Epigenetic changes in eukaryotic biology serve to regulate the process of cellular differentiation. During morphogenesis, totipotent stem cells become the various pluripotent cell lines of the embryo, which in turn become fully differentiated cells. A single fertilized egg cell, the zygote, gives rise to the many different plant cell types including parenchyma, xylem vessel elements, phloem sieve tubes, guard cells of the epidermis, etc. as it continues to divide. The process results from the epigenetic activation of some genes and inhibition of others.",What process causes changes in plant cells?,0,Epigenetic changes
"Computers control functions at many utilities, including coordination of telecommunications, the power grid, nuclear power plants, and valve opening and closing in water and gas networks. The Internet is a potential attack vector for such machines if connected, but the Stuxnet worm demonstrated that even equipment controlled by computers not connected to the Internet can be vulnerable to physical damage caused by malicious commands sent to industrial equipment (in that case uranium enrichment centrifuges) which are infected via removable media. In 2014, the Computer Emergency Readiness Team, a division of the Department of Homeland Security, investigated 79 hacking incidents at energy companies.",What department does the Computer Emergency Readiness Team belong to?,613,the Department of Homeland Security
"Older operating systems such as TOPS-10, along with CP/M, tracked file length only in units of disk blocks and used Control-Z (SUB) to mark the end of the actual text in the file. For this reason, EOF, or end-of-file, was used colloquially and conventionally as a three-letter acronym for Control-Z instead of SUBstitute. The end-of-text code (ETX), also known as Control-C, was inappropriate for a variety of reasons, while using Z as the control code to end a file is analogous to it ending the alphabet and serves as a very convenient mnemonic aid. A historically common and still prevalent convention uses the ETX code convention to interrupt and halt a program via an input data stream, usually from a keyboard.",What does EOF stand for?,205,end-of-file
